Electoral District Number/Numero de circonscription,Candidate/Candidat,Name,,Party,,
48010,Catriona Wright Green Party/Parti Vert,Catriona,Wright,Green,Party/Parti,
48010,David Robinson Maverick Party/Maverick Party,David,Robinson,Maverick,Party/Maverick,
48011,Tom Kmiec ** Conservative/Conservateur,Tom,Kmiec,**,Conservative/Conservateur,
48011,Raj Jessel NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Raj,Jessel,NDP-New,Democratic,
48011,Cam Macdonald Liberal/Libéral,Cam,Macdonald,Liberal/Libéral,,
48011,Ron Vaillant People's Party - PPC/Parti populaire - PPC,Ron,Vaillant,People's,Party,
48011,Evelyn Tanaka Green Party/Parti Vert,Evelyn,Tanaka,Green,Party/Parti,
48011,Andrea Lee Maverick Party/Maverick Party,Andrea,Lee,Maverick,Party/Maverick,
48011,Konstantine Muirhead Independent/Indépendant(e),Konstantine,Muirhead,Independent/Indépendant(e),,
48011,Jesse Halmo National Citizens Alliance/Alliance Nationale Citoyens,Jesse,Halmo,National,Citizens,
48012,Ron Liepert ** Conservative/Conservateur,Ron,Liepert,**,Conservative/Conservateur,
48012,Shawn Duncan Liberal/Libéral,Shawn,Duncan,Liberal/Libéral,,
48012,Patrick King NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Patrick,King,NDP-New,Democratic,
48012,Nick Debrey People's Party - PPC/Parti populaire - PPC,Nick,Debrey,People's,Party,
48012,Keiran Corrigall Green Party/Parti Vert,Keiran,Corrigall,Green,Party/Parti,
48012,Ajay Copp Maverick Party/Maverick Party,Ajay,Copp,Maverick,Party/Maverick,
48013,George Chahal Liberal/Libéral,George,Chahal,Liberal/Libéral,,
48013,Jag Sahota ** Conservative/Conservateur,Jag,Sahota,**,Conservative/Conservateur,
48013,Gurinder Singh Gill NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Gurinder,Singh,Gill,NDP-New,
48013,Harry Dhillon People's Party - PPC/Parti populaire - PPC,Harry,Dhillon,People's,Party,
48013,Janna So Green Party/Parti Vert,Janna,So,Green,Party/Parti,
48013,Lee Aquart Independent/Indépendant(e),Lee,Aquart,Independent/Indépendant(e),,
48013,Daniel Blanchard Marxist-Leninist/Marxiste-Léniniste,Daniel,Blanchard,Marxist-Leninist/Marxiste-Léniniste,,
48013,Nadeem Rana Centrist/Centriste,Nadeem,Rana,Centrist/Centriste,,
48014,Randy Boissonnault Liberal/Libéral,Randy,Boissonnault,Liberal/Libéral,,
48014,James Cumming ** Conservative/Conservateur,James,Cumming,**,Conservative/Conservateur,
